date,Changes In Review,Repos Not Started
1506556802,10,30
1506560402,10,30
1506564002,10,30
1506567601,10,30
1506571202,10,30
1506574801,10,30
1506578402,10,30
1506582001,10,30
1506585602,10,30
1506589202,10,30
1506592801,10,30
1506596402,10,30
1506600002,10,30
1506603602,10,30
1506607202,10,30
1506610802,10,30
1506614401,10,30
1506618001,10,30
1506621601,10,30
1506625201,10,30
1506628802,10,30
1506632401,10,30
1506636002,10,30
1506654001,10,30
1506693602,10,30
1506697202,10,30
1506700801,10,30
1506704402,10,30
1506708001,10,30
1506711893,10,30
1506715202,10,30
1506718802,10,30
1506722401,10,30
1506726002,10,30
1506733201,10,30
1506744002,10,30
1506787202,11,29
1506790801,13,27
1506794401,15,25
1506798002,15,25
1506801601,15,25
1506805201,15,25
1506808802,15,25
1506812402,15,25
1506816001,15,25
1506823201,17,23
1506873602,17,23
1506877201,17,23
1506952801,17,23
1506956401,17,23
1506960002,17,23
1506963602,17,23
1506967202,18,22
1506970802,18,22
1506974401,18,22
1506978002,19,21
1506981601,19,21
1506996001,19,21
1506999602,20,20
1507039202,22,19
1507042802,22,19
1507044312,22,18
1507046401,22,18
1507050002,24,16
1507053602,24,16
1507057201,24,16
1507060802,24,16
1507061700,25,15
1507064401,25,15
1507068002,25,15
1507125602,27,13
1507129202,27,13
1507132803,27,13
1507136402,27,13
1507140001,27,13
1507143602,27,13
1507150802,27,13
1507154401,27,13
1507212001,27,12
1507215602,27,12
1507219202,27,12
1507222801,27,12
1507230002,27,12
1507233602,27,12
1507237202,27,12
1507240801,27,12
1507298402,25,13
1507302002,26,12
1507305601,26,12
1507309202,26,12
1507312802,26,12
1507316402,26,12
1507320002,26,12
1507323601,26,12
1507560768,24,13
1507561202,24,13
1507564801,24,13
1507568402,24,13
1507572002,24,13
1507575602,24,13
1507579202,24,13
1507582818,24,13
1507586415,24,13
1507644002,22,14
1507647602,23,13
1507651201,24,12
1507654801,24,12
1507658401,24,12
1507662002,24,12
1507665601,24,12
1507669202,24,12
1507672801,24,12
1507676401,24,12
1507680002,24,12
1507683601,24,12
1507687202,24,12
1507690801,24,12
1507694401,24,12
1507698001,24,12
1507701602,24,12
1507734001,24,12
1507737601,24,12
1507741201,24,12
1507744802,24,12
1507748401,24,12
1507752001,24,12
1507755601,24,12
1507759201,24,12
1507762801,24,12
1507766402,24,12
1507770002,24,12
1507773601,24,12
1507777202,24,12
1507780802,24,12
1507784402,24,12
1507788001,24,12
1507791602,24,12
1507795202,24,12
1507798801,24,12
1507802401,24,12
1507806002,24,12
1507809601,24,12
1507813202,24,12
1507816802,24,12
1507820401,24,12
1507824002,24,12
1507827602,24,12
1507831201,24,12
1507834801,24,12
1507838402,24,12
1507842002,24,12
1507845601,24,12
1507849201,24,12
1507852801,24,12
1507856401,24,12
1507860002,24,12
1507863602,23,12
1507867202,23,12
1507870801,23,12
1507874402,23,12
1507878001,22,12
1507881601,22,12
1507885201,22,12
1507888801,22,12
1507892402,22,12
1507896002,22,12
1507899602,22,12
1507903201,22,12
1507906801,22,12
1507910401,22,12
1507914002,22,12
1507917602,22,12
1507921202,22,12
1507924802,22,12
1507928401,22,12
1507932001,22,12
1507935601,22,12
1507939201,22,12
1507942802,22,12
1507946402,22,12
1507950002,22,12
1507953602,22,12
1507957202,22,12
1507960802,22,12
1507964401,22,12
1507968002,22,12
1507971601,22,12
1507975201,22,12
1507978802,22,12
1507982401,22,12
1507986002,22,12
1507989601,22,12
1508177593,24,10
1508180402,24,10
1508184001,24,10
1508187601,24,10
1508191201,24,10
1508209202,24,10
1508248802,24,10
1508252401,24,10
1508256001,24,10
1508259602,23,11
1508263201,23,11
1508266802,23,11
1508270402,23,11
1508274001,23,11
1508277602,23,11
1508335202,24,10
1508338802,24,10
1508342401,24,10
1508346002,24,10
1508353201,24,10
1508356802,24,10
1508360403,24,10
1508367602,24,10
1508425202,24,9
1508428802,24,9
1508432402,24,9
1508436002,24,9
1508439602,24,9
1508443202,24,9
1508446802,24,9
1508450401,24,9
1508454001,24,9
1508457602,24,9
1508461201,24,9
1508464801,23,9
1508468402,23,9
1508472001,23,9
1508475602,23,9
1508479202,23,9
1508482802,23,9
1508486402,23,9
1508490002,23,9
1508493601,23,9
1508497201,23,9
1508500802,23,9
1508504402,23,9
1508508001,23,9
1508508749,23,9
1508511601,23,9
1508515201,23,9
1508518801,23,9
1508522402,23,9
1508526002,23,9
1508529602,23,9
1508533202,23,9
1508536801,23,9
1508540401,23,9
1508544001,23,9
1508547602,23,9
1508551202,23,9
1508554802,23,9
1508558401,23,9
1508562002,23,9
1508565602,23,9
1508569202,23,9
1508572802,23,9
1508576401,23,9
1508580002,23,9
1508583602,23,9
1508587201,23,9
1508590802,23,9
1508594401,23,9
1508598001,23,9
1508601601,23,9
1508605201,23,9
1508608802,23,9
1508612402,23,9
1508616002,23,9
1508619602,23,9
1508623201,23,9
1508626802,23,9
1508630402,23,9
1508634001,23,9
1508637601,23,9
1508641201,23,9
1508644801,23,9
1508648402,23,9
1508652001,23,9
1508655601,23,9
1508659201,23,9
1508662801,23,9
1508666402,23,9
1508670001,23,9
1508673601,23,9
1508677202,23,9
1508680802,23,9
1508684402,23,9
1508688001,23,9
1508691602,23,9
1508695201,23,9
1508698802,23,9
1508702402,23,9
1508706002,23,9
1508709601,23,9
1508713202,23,9
1508716801,23,9
1508720402,23,9
1508724002,23,9
1508727601,23,9
1508731201,23,9
1508734802,22,9
1508738401,22,9
1508742001,22,9
1508745602,22,9
1508749201,21,9
1508752802,21,9
1508756402,21,9
1508760002,21,9
1508763601,21,9
1508767201,21,9
1508768268,21,9
1508770802,21,9
1508774402,21,9
1508778002,21,9
1508781601,21,9
1508785202,20,9
1508788802,20,9
1508792401,20,9
1508796002,20,9
1508799602,20,9
1508803202,20,9
1508806801,20,9
1508810402,20,9
1508814001,20,9
1508817602,20,9
1508821202,20,9
1508824801,20,9
1508828401,20,9
1508832001,20,9
1508835603,20,9
1508839202,20,9
1508842801,20,9
1508846402,20,9
1508850002,20,9
1508853601,20,9
1508857201,20,9
1508860801,20,9
1508864402,20,9
1508868001,20,9
1508871602,20,9
1508875201,20,9
1508878802,20,9
1508882402,20,9
1508886002,20,9
1508889601,20,9
1508893202,20,9
1508896801,20,9
1508900402,20,9
1508904002,20,9
1508907602,20,9
1508911201,20,9
1508914802,20,9
1508918401,20,9
1508922001,20,9
1508925601,20,9
1508929201,20,9
1508932802,20,9
1508936401,20,9
1508940001,20,9
1508943602,20,9
1508947202,20,9
1508950801,20,9
1508954402,20,9
1508958001,20,9
1508961601,20,9
1508965202,20,9
1508968802,20,9
1508972401,20,9
1508976001,20,9
1508979602,20,9
1508983201,20,9
1508986802,20,9
1508990401,20,9
1508994002,20,9
1508997602,20,9
1509001201,20,9
1509004802,20,9
1509008402,20,9
1509012001,20,9
1509015602,20,9
1509019202,20,9
1509022802,20,9
1509026401,20,9
1509030002,19,9
1509033601,19,9
1509037202,19,9
1509040802,19,9
1509044402,19,9
1509048002,19,9
1509051602,19,9
1509055202,19,9
1509058801,19,9
1509062402,19,9
1509066001,19,9
1509069602,19,9
1509073201,19,9
1509076802,19,9
1509080401,19,9
1509084002,19,9
1509087602,19,9
1509091201,19,9
1509094801,19,9
1509098402,19,9
1509102002,19,9
1509105602,19,9
1509109201,19,9
1509112802,19,9
1509116402,19,9
1509120002,19,9
1509123601,19,9
1509127202,19,9
1509130801,19,9
1509134402,19,9
1509138002,19,9
1509141602,19,9
1509145201,19,9
1509148802,19,9
1509152402,19,9
1509156001,19,9
1509159602,19,9
1509163201,19,9
1509166802,19,9
1509170402,19,9
1509174005,19,9
1509177602,19,9
1509181203,19,9
1509184802,19,9
1509188402,19,9
1509192002,19,9
1509195601,19,9
1509199201,19,9
1509202801,19,9
1509206402,19,9
1509210001,19,9
1509213602,19,9
1509217202,19,9
1509220802,19,9
1509224401,19,9
1509228001,19,9
1509231602,19,9
1509235202,19,9
1509238802,19,9
1509242401,19,9
1509246002,19,9
1509249602,19,9
1509253201,19,9
1509256803,19,9
1509260401,19,9
1509264003,19,9
1509267601,19,9
1509271202,19,9
1509274802,19,9
1509278402,19,9
1509282002,19,9
1509285601,19,9
1509289202,19,9
1509292801,19,9
1509296402,19,9
1509300002,19,9
1509303603,19,9
1509307202,19,9
1509310802,19,9
1509314401,19,9
1509318002,19,9
1509321602,19,9
1509325202,19,9
1509328801,19,9
1509332402,19,9
1509336002,19,9
1509339602,19,9
1509343202,19,9
1509346802,19,9
1509350402,19,9
1509354002,19,9
1509357602,19,9
1509361202,19,9
1509364801,19,9
1509368402,19,9
1509469202,19,9
1509472801,19,9
1509476402,19,9
1509480002,19,9
1509483602,19,9
1509487202,19,9
1509544802,19,9
1509548402,19,9
1509552002,19,9
1509555601,19,9
1509559202,19,9
1509562802,19,9
1509566402,19,9
1509570002,19,9
1509573601,19,9
1509631201,19,9
1509634801,19,9
1509638402,19,9
1509645602,19,9
1509649202,19,9
1509652802,19,9
1509656402,19,9
1509660001,19,9
1509717602,19,9
1509721202,19,9
1509724802,19,9
1509728401,19,9
1509865209,19,9
1509940808,19,9
1509944402,19,9
1510012802,18,9
1510023602,18,9
1510027202,18,9
1510668002,16,9
1510671601,16,9
1510675201,16,9
1510678801,16,9
1510682402,16,9
1510686002,16,9
1510689601,16,9
1510693202,16,9
1510696801,16,9
1510700401,16,9
